accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,host_age_days,days_since_last_review,avg_review_score,accommodates_bedrooms,min_nights_reviews,season,distance_to_center_km,host_is_superhost,instant_bookable,host_has_profile_pic_binary,host_identity_verified_binary,Has_Wifi,Has_Kitchen,Has_Heating,Has_TV,Has_Essentials,Has_Hair_Dryer,Has_Iron,Has_Free_Parking,Has_Hangers,Has_Laptop_Friendly_Workspace,price
3,1.0,1.0,2.0,2,365,96,4.98,4011,5.0,4.957142857142856,3.0,192,2.0,5.351758767380374,t,f,1,1,0,0,0,0,0,0,0,0,0,0,158.0
5,2.5,2.0,3.0,90,700,0,4.89,4994,0.0,4.892857142857143,10.0,0,,2.8318908216905707,f,f,1,1,0,0,0,0,0,0,0,0,0,0,315.0
6,4.5,3.0,3.0,1,1125,165,4.79,3997,9.0,4.840000000000001,18.0,165,2.0,3.674561388501482,f,f,1,1,0,0,0,0,0,0,0,0,0,0,451.0
1,1.0,1.0,1.0,90,365,32,4.59,5122,73.0,4.781428571428571,1.0,2880,1.0,6.598506884905369,f,t,1,1,0,0,0,0,0,0,0,0,0,0,44.0
4,1.0,2.0,2.0,90,1125,12,4.42,5008,2447.0,4.538571428571429,8.0,1080,3.0,0.7077322450602451,t,f,1,1,0,0,0,0,0,0,0,0,0,0,455.0
10,3.0,5.0,5.0,1,1125,335,4.78,4057,14.0,4.778571428571429,50.0,335,2.0,5.155285143144078,f,f,1,0,0,0,0,0,0,0,0,0,0,0,900.0
2,1.0,1.0,1.0,90,360,25,4.2,5122,189.0,4.491428571428572,2.0,2250,0.0,6.787615420859555,f,f,1,1,0,0,0,0,0,0,0,0,0,0,91.0
9,2.0,5.0,6.0,2,700,89,4.75,4077,23.0,4.758571428571428,45.0,178,2.0,3.228200550762101,f,f,1,1,0,0,0,0,0,0,0,0,0,0,900.0
4,1.0,1.0,2.0,3,60,420,4.79,4396,6.0,4.859999999999999,4.0,1260,2.0,4.142595357091998,t,t,1,1,0,0,0,0,0,0,0,0,0,0,150.0
2,1.0,1.0,1.0,3,10,830,4.93,4012,15.0,4.945714285714286,2.0,2490,2.0,5.3602868474772265,t,f,1,1,0,0,0,0,0,0,0,0,0,0,90.0
4,2.0,2.0,2.0,90,730,0,4.89,3948,0.0,4.892857142857143,8.0,0,,3.861950222369251,f,f,1,1,0,0,0,0,0,0,0,0,0,0,395.0
4,2.0,2.0,3.0,2,365,319,4.96,5172,7.0,4.952857142857143,8.0,638,2.0,2.783926815708587,t,f,1,1,0,0,0,0,0,0,0,0,0,0,423.0
4,1.0,1.0,2.0,90,365,123,4.74,3922,37.0,4.74,4.0,11070,1.0,3.822753282657651,t,f,1,1,0,0,0,0,0,0,0,0,0,0,229.0
4,1.0,2.0,2.0,3,1125,36,4.97,3937,8.0,4.947142857142857,8.0,108,2.0,3.7521001308585062,f,f,1,1,0,0,0,0,0,0,0,0,0,0,315.0
4,1.0,2.0,2.0,90,1125,0,4.89,5584,0.0,4.892857142857143,8.0,0,,0.4808361974305459,f,f,1,0,0,0,0,0,0,0,0,0,0,0,546.0
2,1.0,1.0,1.0,3,90,132,4.86,4500,123.0,4.842857142857143,2.0,396,0.0,3.895893158435239,t,t,1,1,0,0,0,0,0,0,0,0,0,0,218.0
2,1.0,1.0,1.0,90,1125,35,4.57,5008,672.0,4.55,2.0,3150,2.0,8.840273302081217,t,f,1,1,0,0,0,0,0,0,0,0,0,0,207.0
2,1.0,1.0,1.0,90,730,69,4.86,4485,24.0,4.867142857142857,2.0,6210,1.0,0.32362869416059775,t,f,1,1,0,0,0,0,0,0,0,0,0,0,187.0
3,1.0,1.0,2.0,90,180,524,4.86,3263,139.0,4.802857142857143,3.0,47160,0.0,1.030458252212054,f,f,1,1,0,0,0,0,0,0,0,0,0,0,150.0
2,1.0,1.0,1.0,3,1125,115,4.9,3902,8.0,4.857142857142857,2.0,345,2.0,5.316880224894761,t,f,1,1,0,0,0,0,0,0,0,0,0,0,119.0
1,1.0,0.0,1.0,90,730,102,4.59,4522,281.0,4.717142857142856,0.0,9180,3.0,0.7021444439441357,f,f,1,1,0,0,0,0,0,0,0,0,0,0,71.0
2,1.0,1.0,1.0,4,180,354,4.82,2555,23.0,4.875714285714286,2.0,1416,2.0,8.175427459313369,f,f,1,1,0,0,0,0,0,0,0,0,0,0,87.0
4,1.0,2.0,2.0,90,1125,44,4.91,5008,2311.0,4.808571428571428,8.0,3960,0.0,2.3895822296964404,f,f,1,1,0,0,0,0,0,0,0,0,0,0,84.0
6,1.0,2.0,4.0,2,60,379,4.78,3861,8.0,4.8500000000000005,12.0,758,2.0,6.145953385916432,t,f,1,1,0,0,0,0,0,0,0,0,0,0,214.0
4,1.0,1.0,2.0,4,1123,267,4.75,3855,30.0,4.827142857142857,4.0,1068,1.0,3.3153757577580114,t,f,1,1,0,0,0,0,0,0,0,0,0,0,173.0
6,1.5,3.0,3.0,90,1125,83,4.88,4074,162.0,4.855714285714286,18.0,7470,0.0,5.092019616824265,f,f,1,1,0,0,0,0,0,0,0,0,0,0,242.0
4,1.0,1.0,1.0,6,1125,3,4.67,3970,1774.0,4.8585714285714285,4.0,18,2.0,0.4169351674049722,f,f,1,1,0,0,0,0,0,0,0,0,0,0,367.0
2,1.5,2.0,2.0,4,23,225,4.97,5734,12.0,4.94,4.0,900,2.0,1.2188527277316106,t,f,1,1,0,0,0,0,0,0,0,0,0,0,490.0
2,1.0,1.0,1.0,90,250,161,4.91,3834,36.0,4.911428571428571,2.0,14490,1.0,5.410814823649402,t,f,1,1,0,0,0,0,0,0,0,0,0,0,90.0
2,1.0,1.0,1.0,3,7,595,4.92,3820,10.0,4.935714285714285,2.0,1785,2.0,3.6523353460856485,t,f,1,1,0,0,0,0,0,0,0,0,0,0,130.0
2,1.0,1.0,1.0,90,365,20,4.95,3910,160.0,4.96,2.0,1800,0.0,0.8781457217965506,t,f,1,1,0,0,0,0,0,0,0,0,0,0,135.0
2,1.0,1.0,1.0,90,1125,14,4.79,4582,55.0,4.8585714285714285,2.0,1260,1.0,2.6677594217863287,t,f,1,1,0,0,0,0,0,0,0,0,0,0,80.0
3,1.0,2.0,2.0,2,1125,357,4.42,3769,14.0,4.484285714285714,6.0,714,2.0,1.0592708597672795,f,f,1,1,0,0,0,0,0,0,0,0,0,0,257.0
3,1.0,2.0,2.0,90,600,75,4.85,3854,181.0,4.859999999999999,6.0,6750,0.0,0.2466206482632075,t,f,1,1,0,0,0,0,0,0,0,0,0,0,196.0
2,1.0,1.0,1.0,2,21,1083,4.92,3756,20.0,4.932857142857143,2.0,2166,2.0,4.603822424475791,t,f,1,1,0,0,0,0,0,0,0,0,0,0,128.0
2,1.0,0.0,1.0,90,1125,46,5.0,4518,184.0,4.944285714285714,0.0,4140,0.0,0.4878547233472295,t,f,1,1,0,0,0,0,0,0,0,0,0,0,180.0
4,1.0,2.0,2.0,2,30,330,4.95,3748,16.0,4.948571428571428,8.0,660,2.0,4.186197105382681,t,f,1,1,0,0,0,0,0,0,0,0,0,0,257.0
4,1.0,2.0,2.0,3,1125,298,4.83,4649,8.0,4.887142857142857,8.0,894,2.0,3.708926916069204,t,f,1,1,0,0,0,0,0,0,0,0,0,0,170.0
4,1.0,1.0,2.0,90,365,140,4.79,3922,51.0,4.748571428571429,4.0,12600,1.0,3.8446287351094752,t,f,1,1,0,0,0,0,0,0,0,0,0,0,364.0
2,1.0,0.0,1.0,3,27,406,4.91,4362,9.0,4.897142857142858,0.0,1218,2.0,6.537113232934367,t,t,1,1,0,0,0,0,0,0,0,0,0,0,209.0
